Items;Russian;English
# Infinity players;;
SniperName;Снайпер;Sniper
SniperDescription;- Увеличенный шанс критического урона\n- Низкое здоровье\n- Высокая регенерация\n- Высокая скорость передвижения\n- Бонус к регенерации 10%, если игрок не двигается;- Increased critical hit rate\n- Low health\n- High regeneration\n- High movement speed\n- 10% regeneration bonus when you do not move
TankName;Танк;Tank
TankDescription;- Увеличенный критический урон\n- Высокое здоровье\n- Медленный\n- 20% сопротивление урону\n- Регенерация продолжается после получения урона;- Increased critical hit damage\n- High health\n- Low movement speed\n- 20% resistance to all damage\n- Damage do not really affect regeneration
GrenadierName;Гренадёр;Grenadier
GrenadierDescription;- Высокая частота бросков гранат\n- Средние характеристикиn\n- Иммунитет к взрывам;- High grenade rate\n- Medium stats\n- Immunity to explosions
GodName;Бог;God
GodDescription;-Увеличенный урон\n- Высокая частота бросков гранат\n-Бессмертие\n-Отец Иисуса\n- Не может установить рекорд;- Increased damage\n- High grenade rate\n- Immortality\n- Jesus' father\n- Can't set a highscore
# Weapons;;
PowerPistolName;Бронебойный пистолет;Power pistol
PowerPistolDescription;Тот самый ствол, что ты ищешь. 18 патронов в магазине и мощь Desert Eagle'а в одном.\n<color=#33ccff>Оружие дальнего боя</color>;The gun that you are looking for. 18 rounds in magazine and power of Desert Eagle in one.\n<color=#33ccff>Ranged weapon</color>
BlasterName;Бластер;Blaster
BlasterDescription;Настоящий бластер. Автоматически заряжается в режиме ожидания. Имеет <color=#ee5533>Смертельный режим</color>.\n<color=#33ccff>Оружие дальнего боя</color>;Actual blaster. Charges itself when not shooting. Also has the <color=#ee5533>Death mode</color>.\n<color=#33ccff>Ranged weapon</color>
RifleName;Винтовка;Rifle
RifleDescription;Мощное оружие с вместительным магазином и потрясающей скорострельностью.\n<color=#33ccff>Оружие дальнего боя</color>;Powerful weapon with capacious magazine and incredible shot rate.\n<color=#33ccff>Ranged weapon</color>
EnergyKnifeName;Энергетический нож;Energy knife
EnergyKnifeDescription;Это нож. Нож на батарейках. Бери либо уходи.\n\nP.S. На самом деле внутри <color=#22aa22>атомный конденсатор</color>, а не <color=#ff2222>чёртовы батарейки</color>.\n<color=#72D683>Оружие ближнего боя</color>\n<color=#935C51>Меньший урон роботам</color>;This is knife. Knife that works on batteries. Take it or leave it.\n\nP.S. There's actually a <color=#22aa22>nuclear capacitor</color> inside, not <color=#ff2222>damn batteries</color>.\n<color=#72D683>Melee weapon</color>\n<color=#935C51>Weak against robots</color>
# Grenades;;
FragGrenadeName;Осколочная граната;Fragment grenade
FragGrenadeDescription;Простая граната с небольшим радиусом поражения и огромным уроном.\n<color=#ff3333>Взрывоопасна</color>;Simple grenade with small blast radius and great damage.\n<color=#ff3333>Explosive</color>
ElectricGrenadeName;Электро-граната;Electric grenade
ElectricGrenadeDescription;Изначально создавалась как оружие против роботов с ИИ. Теоретически, может питать большой город электричеством около 7 часов.\n<color=#0cc1e8>Электрическая</color>;Initially it was created as a weapon agains robots with AI. In theory, it can provide a big city with electricity for about 7 hours.\n<color=#0cc1e8>Electric</color>
MultipleGrenadeName;Множественная граната;Multiple grenade
MultipleGrenadeDescription;Этот небольшой кусочек металла уничтожит всё, что вам дорого ровно за 3.3 секунды. Внутри много взрывающихся фрагментов.\n<color=#ff3333>Взрывоопасна²</color>;This tiny piece of metal will ruin everything you love exactly in 3.3 seconds. Contains a lot of <color=#ffee22>fragments</color>, which also explode.\n<color=#ff3333>Explosive²</color>
GasGrenadeName;Газовая граната;Gas grenade
GasGrenadeDescription;Химическое оружие запрещено с 1993 года, но как они узнают что ты им пользуешься?\n<color=#4A993B>Ядовита</color>;Chemical weapons are prohibited since 1993, but how would they know you're using it?\n<color=#4A993B>Poisonous</color>
# Infinity difficulties;;
EasyDName;Легко;Easy
EasyDDescription;Для слабаков. Это даже не сложность, просто напоминание для тебя.;In case you're sucker. It's not even a difficulty, it's just reminder for you.
MediumDName;Нормально;Medium
MediumDDescription;Неплохой способ повеселиться. Не для профессионалов, но это всё же не так просто.;Great way to have fun. Not for true professionals, but still a bit challenging.
HardDName;Сложно;Hard
HardDDescription;Для профи. Сложно выжить и сложно это название сложности. Удачи.;For pros. Hard to survive and hard is a difficulty's name. Good luck.
InsaneDName;Безумие;Insane
InsaneDDescription;О, вы из дурки. Заходите, и враги покончат с твоими страданиями в этом жестоком мире.;Ah yes, you're from loony bin. Come in and enemies will end your suffering in this harsh world.
BloodbathDName;<color=#ee0000>Кровавая баня</color>;<color=#ee0000>Bloodbath</color>
BloodbathDDescription;Ваша регенерация будет повышена 10 раз, однако ваши шансы всё же нулевые. Если только вы не привели пару десятков соратников. ;Your regeneration will be boosted ten times, but you still won't have any chances here. Only if you will bring here a few dozens of comrades.
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
