MainMenu;Russian;English
#General;;
Title;Добро пожаловать в UNDED!;Welcome to UNDED!
Play;Играть;Play
Settings;Настройки;Settings
Exit;Выйти;Exit
#SelectGM menu;;
SelectGM_Title;Выберете режим игры;Select game mode
InfinityGM;Бесконечный;Infinity
StoryGM;История;Story
DebugGM;Отладочный;Debug
SelectGM_Back;Назад;Back
#InfinityGM menus;;
Infinity_SelectClassTitle;Выберете класс;Select your class
Infinity_SelectWeaponTitle;Выберете оружие;Select your weapon
Infinity_SelectGrenadeTitle;Выберете гранату;Select your grenade
Infinity_SelectDifficultyTitle;Выберете уровень слоности;Select your difficulty
Infinity_Cancel;Отмена;Cancel
Infinity_Start;Начать игру;Start
#DebugGM menu;;
Debug_Title;Выберете снаряжение;Select your equipment
Debug_Cancel;Отмена;Cancel
Debug_Start;Начать игру;Start
# Loading screen;;
LoadingTitle;Загрузка…;Loading…
LoadingSubtitle;Пожалуйста подождите;Please wait
