Settings;Русский;English
;;
#General;;
Title;Настройки;Settings
Language;Язык;Language
Quality;Качество графики;Graphics
Resolution;Разрешение;Resolution
FullScreen;Во весь экран;Full screen
ResetSettings;Сбросить настройки;Reset to defaults
ResetHighscore;Сбросить рекорды;Reset highscore
SFXVolume;Громкость звуков;SFX volume
MusicVolume;Громкость музыки;Music volume
ParticleEffects;Частицы;Particles
ScreenShakeEffects;Скрин шейк;Screen shake
DamageTextEffects;Отображение урона;Damage text
;;
#Confirm windows;;
HighscoreReset_ConfirmText;Вы уверены что хотите сбросить свои рекорды?\n<color=#ee0000>Это действие нельзя отменить!</color>;Are you sure you want to reset your highscores?\n<color=#ee0000>You can't undo this!</color>
HighscoreReset_ConfirmOk;Сбросить;Reset
HighscoreReset_ConfirmCancel;Отмена;Cancel
SettingsReset_ConfirmText;Вы уверены что хотите сбросить настройки?;Are you sure you want to reset your settings?
SettingsReset_ConfirmOk;Да;Yes
SettingsReset_ConfirmCancel;Отмена;Cancel
;;
#Quality options;;
Quality_VeryLow;Очень низкое;Very low
Quality_Low;Низкое;Low
Quality_Medium;Среднее;Medium
Quality_High;Высокое;High
Quality_VeryHigh;Очень высокое;Very high
Quality_Ultra;Ультра;Ultra
;;
;;
;;
